subway_line,subway_name,coordinate_x,coordinate_y
1,소요산,409.101,222.81714
1,동두천,404.85438,221.5059
1,보산,401.87742,222.02817
1,동두천중앙,399.39585,221.86122
1,지행,397.39014,221.70036
1,덕정,387.06948,222.86817
1,덕계,381.88206,221.86206
1,양주,372.62001,219.38868
1,녹양,369.4698,218.88132
1,가능,367.20117,219.28473
1,의정부,365.06715,219.65118
1,회룡,362.21766,219.84795
1,망월사,359.08194,219.96555
1,도봉산,354.75573,219.70662
1,도봉,352.70823,219.57495
1,방학,350.17563,219.29733
1,창동,347.16486,220.02351
1,녹천,345.40779,220.76649
1,월계,342.97452,222.35451
1,광운대,340.96272,222.98535
1,석계,339.10905,223.82871
1,신이문,336.38934,224.13825
1,외대앞,335.17533,223.34529
1,회기,333.7866,222.09243
1,청량리,331.83738,219.83535
1,제기동,331.40163,217.32753
1,신설동,330.81237,215.26827
1,동묘앞,330.25167,213.45009
1,동대문,329.9982,212.04645
1,종로5가,329.89446,210.38829
1,종로3가,330.03747,208.27926
1,종각,329.73381,206.41383
1,시청,328.59078,205.19268
1,서울역,326.28794,204.14226
1,남영,323.61441,203.973
1,용산,321.26829,202.55781
1,노량진,317.98599,197.91534
1,대방,317.80182,194.54022
1,신길,318.59562,192.60549
1,영등포,318.25584,190.60188
1,신도림,316.83225,187.17195
1,구로,315.63819,185.21286
1,구일,314.31876,182.86653
1,개봉,313.86474,180.3228
1,오류동,313.85046,177.52665
1,온수,313.37418,172.91148
1,역곡,311.88738,170.41542
1,소사,311.37813,167.0424
1,부천,311.6505,164.36406
1,중동,312.17802,160.61703
1,송내,312.396,158.26944
1,부개,312.56778,155.6289
1,부평,312.79353,152.20905
1,백운,311.56944,148.61784
1,동암,308.99568,147.60816
1,간석,307.59477,145.77801
1,주안,307.63761,142.78383
1,도화,307.8747,140.42112
1,제물포,308.02149,137.89986
1,도원,308.37366,134.96826
1,동인천,309.80796,132.88842
1,인천,310.10511,129.55656
1,가산디지털단지,311.02512,185.29203
1,독산,307.98873,186.74229
1,금천구청,305.68146,187.7358
1,석수,301.35987,189.48195
1,관악,298.03872,190.82826
1,안양,294.33432,193.80354
1,명학,290.77713,196.44093
1,금정,288.16641,198.12009
1,군포,284.2476,199.17702
1,당정,282.29985,199.15245
1,의왕,277.37892,199.12557
1,성균관대,273.07329,203.8575
1,화서,269.61102,207.82167
1,수원,265.85454,209.97354
1,세류,261.45525,212.77662
1,병점,253.57563,216.87351
1,세마,249.38193,219.0678
1,오산대,245.48013,223.27137
1,오산,240.63585,224.0112
1,진위,232.98387,223.07838
1,송탄,225.89616,221.40321
1,서정리,221.86416,221.09199
1,평택지제,215.86416,223.09199
1,평택,208.05246,227.88339
1,성환,192.37596,236.66244
